Type,Dedicated Graphic Memory Capacity,SSD,RAM (in GB),Expandable Memory,Touchscreen,Screen Size (in inch),screen_resolution,Storage,CPU_ranking,gpu_benchmark,ram_type_tokenized,Price(RM),Refresh_Rate
1,4.0,1,16,1,0,17.3,1080,512,64,72.6,4,4399.45,1
2,0.0,1,8,1,0,15.6,1080,512,108,17.5,4,3129.5,1
2,0.0,1,8,0,0,14.0,720,256,745,5.05,4,1726.45,1
2,0.0,1,8,1,0,14.0,1080,512,330,102.0,4,2199.45,1
2,2.0,1,8,1,0,14.0,1080,512,108,16.5,4,3051.95,1
2,0.0,1,8,1,0,15.6,1080,256,330,102.0,4,2446.95,1
2,0.0,1,16,1,0,14.0,1080,512,108,17.5,4,3904.45,1
1,6.0,1,16,0,0,15.6,1440,1000,38,132.0,4,7754.45,1
2,0.0,1,8,0,0,13.3,1080,512,108,17.5,6,4399.45,1
2,0.0,1,4,1,0,14.0,1080,1256,362,5.05,4,2424.95,1
1,8.0,1,32,0,0,15.6,1440,1000,38,168.0,7,15399.45,1
2,2.0,1,16,1,0,14.0,1080,512,108,16.5,4,3326.95,1
2,0.0,1,8,1,0,15.6,1080,1256,108,5.05,4,3293.95,1
2,0.0,1,8,1,0,14.96,1080,256,540,5.05,4,2089.45,1
2,0.0,1,8,1,0,14.96,1080,256,362,5.05,4,2144.45,1
1,10.0,1,16,0,0,15.6,1080,1000,48,78.1,4,7149.45,1
2,0.0,1,8,1,0,15.6,1080,512,87,102.0,4,2859.45,1
2,0.0,1,8,1,0,15.6,1080,256,560,102.0,4,2232.45,1
4,0.0,0,8,0,0,15.6,1080,1000,540,4.23,4,2089.95,1
2,0.0,1,8,1,0,15.6,1080,512,330,102.0,4,2144.45,1
2,0.0,1,8,1,0,15.6,1080,512,540,5.05,4,2034.45,1
2,0.0,1,4,1,0,14.0,1080,256,540,5.05,4,1759.45,1
4,0.512,1,8,0,0,15.6,1080,512,108,4.23,4,4949.89,1
2,0.0,1,8,1,0,14.0,1080,512,87,102.0,4,2639.45,1
1,4.0,1,16,1,0,16.0,2160,1000,110,72.6,4,7177.5,1
4,0.0,1,8,1,0,15.6,1080,1256,362,4.23,4,2694.45,1
2,0.0,1,8,0,0,14.0,1080,512,108,5.05,4,2584.45,1
2,2.0,1,8,0,0,14.0,1080,512,61,33.8,4,4234.45,1
3,0.0,1,8,0,1,14.0,1080,256,362,5.05,4,2969.45,1
3,0.0,1,8,0,1,14.0,1080,512,362,5.05,6,2914.45,1
3,0.0,1,8,0,1,14.0,1080,512,108,17.5,6,3519.45,1
3,0.0,1,8,0,1,14.0,1080,256,362,5.05,6,2749.45,1
4,0.0,1,8,0,0,14.0,720,512,560,102.0,4,2430.45,1
2,0.0,1,8,0,0,14.1,1080,256,873,5.05,4,2006.95,1
2,0.0,1,8,0,0,14.0,1080,256,873,5.05,4,1869.45,1
4,0.0,0,4,0,0,15.6,720,1000,540,4.23,4,2090.0,1
